matrix, M, N, nz, type, avgTime, avgGFlops, nThreads
olm1000, 1000, 1000, 3996, CSR, 0.011262, 0.709667, 36
olm1000, 1000, 1000, 3996, HLL, 0.021922, 0.364566, 36
olm1000, 1000, 1000, 3996, CSR, 0.013292, 0.601258, 37
olm1000, 1000, 1000, 3996, HLL, 0.025275, 0.316205, 37
olm1000, 1000, 1000, 3996, CSR, 0.011089, 0.720691, 38
olm1000, 1000, 1000, 3996, HLL, 0.023270, 0.343450, 38
olm1000, 1000, 1000, 3996, CSR, 0.011377, 0.702460, 39
olm1000, 1000, 1000, 3996, HLL, 0.023564, 0.339157, 39
olm1000, 1000, 1000, 3996, CSR, 0.013559, 0.589422, 40
olm1000, 1000, 1000, 3996, HLL, 0.026791, 0.298313, 40
adder_dcop_32, 1813, 1813, 11246, serial, 0.018116, 1.241547, 1
adder_dcop_32, 1813, 1813, 11246, CSR, 0.018230, 1.233761, 1
adder_dcop_32, 1813, 1813, 11246, HLL, 0.072166, 0.311670, 1
adder_dcop_32, 1813, 1813, 11246, CSR, 0.008405, 2.675997, 2
adder_dcop_32, 1813, 1813, 11246, HLL, 0.050141, 0.448571, 2
adder_dcop_32, 1813, 1813, 11246, CSR, 0.014414, 1.560406, 3
adder_dcop_32, 1813, 1813, 11246, HLL, 0.046981, 0.478744, 3
adder_dcop_32, 1813, 1813, 11246, CSR, 0.005869, 3.832243, 4
adder_dcop_32, 1813, 1813, 11246, HLL, 0.042788, 0.525662, 4
adder_dcop_32, 1813, 1813, 11246, CSR, 0.006091, 3.692513, 5
adder_dcop_32, 1813, 1813, 11246, HLL, 0.042587, 0.528147, 5
adder_dcop_32, 1813, 1813, 11246, CSR, 0.005345, 4.207697, 6
adder_dcop_32, 1813, 1813, 11246, HLL, 0.041300, 0.544595, 6
adder_dcop_32, 1813, 1813, 11246, CSR, 0.005316, 4.230639, 7
adder_dcop_32, 1813, 1813, 11246, HLL, 0.041504, 0.541925, 7
adder_dcop_32, 1813, 1813, 11246, CSR, 0.005308, 4.237691, 8
adder_dcop_32, 1813, 1813, 11246, HLL, 0.041042, 0.548023, 8
adder_dcop_32, 1813, 1813, 11246, CSR, 0.006279, 3.582086, 9
adder_dcop_32, 1813, 1813, 11246, HLL, 0.043672, 0.515022, 9
adder_dcop_32, 1813, 1813, 11246, CSR, 0.005503, 4.086915, 10
adder_dcop_32, 1813, 1813, 11246, HLL, 0.041584, 0.540879, 10
adder_dcop_32, 1813, 1813, 11246, CSR, 0.005789, 3.885451, 11
adder_dcop_32, 1813, 1813, 11246, HLL, 0.043470, 0.517411, 11
adder_dcop_32, 1813, 1813, 11246, CSR, 0.005934, 3.790232, 12
adder_dcop_32, 1813, 1813, 11246, HLL, 0.041029, 0.548196, 12
adder_dcop_32, 1813, 1813, 11246, CSR, 0.005984, 3.758761, 13
adder_dcop_32, 1813, 1813, 11246, HLL, 0.042773, 0.525842, 13
adder_dcop_32, 1813, 1813, 11246, CSR, 0.008154, 2.758374, 14
adder_dcop_32, 1813, 1813, 11246, HLL, 0.045177, 0.497869, 14
adder_dcop_32, 1813, 1813, 11246, CSR, 0.007493, 3.001575, 15
adder_dcop_32, 1813, 1813, 11246, HLL, 0.046254, 0.486267, 15
adder_dcop_32, 1813, 1813, 11246, CSR, 0.007597, 2.960567, 16
adder_dcop_32, 1813, 1813, 11246, HLL, 0.046244, 0.486376, 16
adder_dcop_32, 1813, 1813, 11246, CSR, 0.008860, 2.538735, 17
adder_dcop_32, 1813, 1813, 11246, HLL, 0.050221, 0.447862, 17
adder_dcop_32, 1813, 1813, 11246, CSR, 0.008463, 2.657724, 18
adder_dcop_32, 1813, 1813, 11246, HLL, 0.049813, 0.451525, 18
adder_dcop_32, 1813, 1813, 11246, CSR, 0.009548, 2.355720, 19
adder_dcop_32, 1813, 1813, 11246, HLL, 0.049500, 0.454381, 19
adder_dcop_32, 1813, 1813, 11246, CSR, 0.010023, 2.244036, 20
adder_dcop_32, 1813, 1813, 11246, HLL, 0.050309, 0.447081, 20
adder_dcop_32, 1813, 1813, 11246, CSR, 0.010977, 2.049101, 21
adder_dcop_32, 1813, 1813, 11246, HLL, 0.051481, 0.436895, 21
adder_dcop_32, 1813, 1813, 11246, CSR, 0.009689, 2.321286, 22
adder_dcop_32, 1813, 1813, 11246, HLL, 0.053093, 0.423632, 22
adder_dcop_32, 1813, 1813, 11246, CSR, 0.009050, 2.485218, 23
adder_dcop_32, 1813, 1813, 11246, HLL, 0.052310, 0.429976, 23
adder_dcop_32, 1813, 1813, 11246, CSR, 0.011827, 1.901787, 24
adder_dcop_32, 1813, 1813, 11246, HLL, 0.057234, 0.392981, 24
adder_dcop_32, 1813, 1813, 11246, CSR, 0.009439, 2.382868, 25
adder_dcop_32, 1813, 1813, 11246, HLL, 0.053980, 0.416675, 25
adder_dcop_32, 1813, 1813, 11246, CSR, 0.012229, 1.839181, 26
adder_dcop_32, 1813, 1813, 11246, HLL, 0.060958, 0.368975, 26
adder_dcop_32, 1813, 1813, 11246, CSR, 0.011798, 1.906399, 27
adder_dcop_32, 1813, 1813, 11246, HLL, 0.062348, 0.360752, 27
adder_dcop_32, 1813, 1813, 11246, CSR, 0.012294, 1.829511, 28
adder_dcop_32, 1813, 1813, 11246, HLL, 0.064831, 0.346934, 28
adder_dcop_32, 1813, 1813, 11246, CSR, 0.010556, 2.130758, 29
adder_dcop_32, 1813, 1813, 11246, HLL, 0.062166, 0.361808, 29
adder_dcop_32, 1813, 1813, 11246, CSR, 0.012078, 1.862276, 30
adder_dcop_32, 1813, 1813, 11246, HLL, 0.065553, 0.343113, 30
adder_dcop_32, 1813, 1813, 11246, CSR, 0.012869, 1.747824, 31
adder_dcop_32, 1813, 1813, 11246, HLL, 0.069966, 0.321470, 31
adder_dcop_32, 1813, 1813, 11246, CSR, 0.012131, 1.854055, 32
adder_dcop_32, 1813, 1813, 11246, HLL, 0.068687, 0.327456, 32
adder_dcop_32, 1813, 1813, 11246, CSR, 0.012694, 1.771897, 33
adder_dcop_32, 1813, 1813, 11246, HLL, 0.068642, 0.327673, 33
adder_dcop_32, 1813, 1813, 11246, CSR, 0.010808, 2.080966, 34
adder_dcop_32, 1813, 1813, 11246, HLL, 0.067877, 0.331364, 34
adder_dcop_32, 1813, 1813, 11246, CSR, 0.011010, 2.042926, 35
